food_name,calories,protein_g,carbs_g,fats_g
Apple,52,0.3,13.8,0.2
Banana,89,1.1,22.8,0.3
Orange,47,0.9,11.8,0.1
Mango,60,0.8,15.0,0.4
Papaya,43,0.5,10.8,0.3
Guava,68,2.6,14.3,1.0
Pomegranate,83,1.7,18.7,1.2
Watermelon,30,0.6,7.6,0.2
Grapes,69,0.7,18.1,0.2
Pineapple,50,0.5,13.1,0.1
Strawberry,32,0.7,7.7,0.3
Blueberry,57,0.7,14.5,0.3
Raspberry,52,1.2,11.9,0.7
Blackberry,43,1.4,9.6,0.5
Kiwi,61,1.1,14.7,0.5
Pear,57,0.4,15.2,0.1
Peach,39,0.9,9.5,0.3
Plum,46,0.7,11.4,0.3
Apricot,48,1.4,11.1,0.4
Cherry,63,1.1,16.0,0.2
Lychee,66,0.8,16.5,0.4
Custard Apple (Sitaphal),94,1.7,23.6,0.6
Sweet Lime (Mosambi),43,0.7,10.6,0.2
Jamun (Black Plum),60,0.7,15.6,0.2
Chikoo (Sapota),83,0.4,20.0,1.1
Dragon Fruit,60,1.2,13.0,0.4
Passion Fruit,97,2.2,23.4,0.7
Fig (Anjeer),74,0.8,19.2,0.3
Dates (Khajoor),282,2.5,75.0,0.4
Raisins (Kishmish),299,3.1,79.2,0.5
Coconut (Fresh),354,3.3,15.2,33.5
Coconut Water,19,0.7,3.7,0.2
Jackfruit,95,1.7,23.2,0.6
Star Fruit (Kamrakh),31,1.0,6.7,0.3
Wood Apple (Bael),49,1.8,11.1,0.2
Amla (Indian Gooseberry),44,0.9,10.2,0.6
Tamarind (Imli),239,2.8,62.5,0.6
Mulberry,43,1.4,9.8,0.4
Persimmon,70,0.6,18.6,0.2
Avocado,160,2.0,8.5,14.7
Lemon,29,1.1,9.3,0.3
Lime,30,0.7,10.5,0.2
Grapefruit,42,0.8,10.7,0.1
Cantaloupe (Muskmelon),34,0.8,8.2,0.2
Honeydew Melon,36,0.5,9.1,0.1
Potato,77,2.0,17.5,0.1
Sweet Potato,86,1.6,20.1,0.1
Carrot,41,0.9,9.6,0.2
Beetroot,43,1.6,9.6,0.2
Radish,16,0.7,3.4,0.1
Turnip,28,0.9,6.4,0.1
Onion,40,1.1,9.3,0.1
Tomato,18,0.9,3.9,0.2
Cucumber,15,0.7,3.6,0.1
Bottle Gourd (Lauki),14,0.6,3.4,0.0
Ridge Gourd (Turai),20,1.2,4.4,0.2
Bitter Gourd (Karela),17,1.0,3.7,0.2
Ash Gourd (Petha),13,0.4,3.0,0.1
Snake Gourd (Chichinda),18,0.5,4.2,0.2
Pumpkin,26,1.0,6.5,0.1
Zucchini,17,1.2,3.1,0.3
Bell Pepper (Capsicum),26,1.0,6.0,0.3
Green Chilli,40,2.0,8.8,0.2
Eggplant (Baingan),25,1.0,5.9,0.2
Okra (Bhindi),33,1.9,7.0,0.2
Cabbage,25,1.3,5.8,0.1
Cauliflower,25,1.9,5.0,0.3
Broccoli,34,2.8,7.0,0.4
Spinach (Palak),23,2.9,3.6,0.4
Fenugreek Leaves (Methi),49,4.4,6.0,0.9
Amaranth Leaves (Chaulai),23,2.5,4.0,0.4
Mustard Greens (Sarson),27,2.9,4.7,0.4
Coriander Leaves,23,2.1,3.7,0.5
Mint Leaves,44,3.8,8.4,0.7
Curry Leaves,108,6.1,18.7,1.0
Drumstick (Moringa),37,2.1,8.5,0.2
Drumstick Leaves (Moringa),64,9.4,8.3,1.4
Cluster Beans (Guar),16,3.2,3.2,0.1
French Beans,31,1.8,7.0,0.2
Broad Beans (Sem),88,7.9,17.6,0.4
Green Peas,81,5.4,14.5,0.4
Mushroom,22,3.1,3.3,0.3
Baby Corn,23,2.0,4.6,0.3
Corn (Sweet Corn),86,3.3,18.7,1.4
Jackfruit (Raw),95,1.7,23.2,0.6
Banana Flower,51,1.6,9.9,0.5
Lotus Root,74,2.6,17.2,0.1
Yam (Suran),118,1.5,27.9,0.2
Arbi (Taro Root),112,1.5,26.5,0.2
Raw Banana (Plantain),122,1.3,31.9,0.4
Coconut Malai,354,3.3,15.2,33.5
Toor Dal (Pigeon Pea),335,22.3,62.8,1.5
Moong Dal (Green Gram),347,24.5,63.0,1.2
Masoor Dal (Red Lentil),353,25.8,60.1,1.1
Chana Dal (Bengal Gram),372,22.5,60.9,5.3
Urad Dal (Black Gram),341,25.2,58.9,1.6
Rajma (Kidney Beans),333,22.5,60.0,0.8
Kala Chana (Black Chickpea),364,17.1,60.9,5.2
Kabuli Chana (Chickpea),364,19.3,60.7,6.0
Lobia (Black Eyed Peas),336,23.5,60.0,1.3
Green Moong Whole,334,23.9,62.6,1.3
Matki (Moth Beans),343,22.9,61.5,1.6
Kulthi Dal (Horse Gram),321,22.0,57.2,0.5
Soybean,446,36.5,30.2,19.9
Peanuts,567,25.8,16.1,49.2
Cashew,553,18.2,30.2,43.9
Almonds,579,21.2,21.6,49.9
Walnuts,654,15.2,13.7,65.2
Pistachios,560,20.2,27.2,45.3
Raisins (Dried),299,3.1,79.2,0.5
Dates (Dried),282,2.5,75.0,0.4
Fig (Dried Anjeer),249,3.3,63.9,0.9
Apricot (Dried),241,3.4,62.6,0.5
Prunes (Dried Plum),240,2.2,63.9,0.4
Flax Seeds,534,18.3,28.9,42.2
Chia Seeds,486,16.5,42.1,30.7
Sunflower Seeds,584,20.8,20.0,51.5
Pumpkin Seeds,559,30.2,10.7,49.1
Sesame Seeds (Til),573,17.7,23.4,49.7
Melon Seeds,557,28.5,15.3,47.4
Watermelon Seeds,557,28.3,15.3,47.4
Chicken Breast (Raw),165,31.0,0.0,3.6
Chicken Thigh (Raw),209,26.0,0.0,10.9
Chicken Drumstick (Raw),172,28.3,0.0,5.7
Chicken Wings (Raw),203,30.5,0.0,8.1
Chicken Curry (with Gravy),150,18.0,5.0,6.5
Chicken Tandoori,148,27.0,2.0,3.0
Chicken Biryani,163,12.0,18.0,5.0
Chicken Tikka,150,26.0,3.0,3.5
Butter Chicken,180,14.0,8.0,10.0
Chicken Korma,185,15.0,7.0,11.0
Chicken 65,250,20.0,10.0,14.0
Mutton Curry,210,18.0,5.0,13.0
Mutton Biryani,200,15.0,20.0,8.0
Mutton Keema,175,20.0,4.0,8.5
Mutton Rogan Josh,195,17.0,6.0,11.0
Lamb Chops,282,25.0,0.0,19.8
Goat Meat (Raw),143,27.0,0.0,3.0
Fish (Rohu),97,16.6,0.0,3.0
Fish (Katla),105,17.0,0.0,3.5
Fish (Hilsa),310,18.0,0.0,25.0
Pomfret,96,19.0,0.0,1.5
Salmon,208,20.0,0.0,13.4
Tuna,130,29.0,0.0,0.9
Mackerel,205,18.6,0.0,13.9
Sardine,208,24.6,0.0,11.5
Tilapia,96,20.1,0.0,1.7
Prawns,99,24.0,0.2,0.3
Shrimp,106,20.3,1.0,1.7
Crab,97,19.4,0.0,1.3
Lobster,89,19.0,0.0,0.9
Fish Curry,120,15.0,5.0,4.5
Fish Fry,180,18.0,8.0,9.0
Fish Tikka,130,22.0,3.0,3.5
Egg Whole (Boiled),155,13.0,1.1,10.6
Egg White,52,11.0,0.7,0.2
Egg Yolk,322,15.9,3.6,26.5
Egg Omelette,154,10.6,1.0,11.5
Scrambled Egg,148,10.0,1.5,10.8
Egg Bhurji,120,9.0,4.0,7.5
Egg Curry,130,11.0,6.0,7.0
Boiled Egg White Only,52,11.0,0.7,0.2
